task,paired_clean_seed,config,return,failure_label,status,simulator_queries,cell
balance,20096,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",123.28730392456055,0,SUCCESS,1,"(4, 0, 3, 1)"
balance,20097,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",110.99075317382812,0,SUCCESS,1,"(4, 0, 3, 1)"
balance,20098,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 1.0}",115.37255859375,0,SUCCESS,1,"(4, 0, 3, 2)"
balance,20099,"{""modality"": ""dropout"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",146.70734024047852,0,SUCCESS,1,"(4, 0, 4, 0)"
balance,20100,"{""modality"": ""dropout"", ""agents"": [0, 1], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",109.07649993896484,0,SUCCESS,1,"(4, 0, 4, 0)"
balance,20101,"{""modality"": ""dropout"", ""agents"": [0, 2], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",117.15110778808594,0,SUCCESS,1,"(4, 0, 4, 0)"
balance,20102,"{""modality"": ""dropout"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",149.65745544433594,0,SUCCESS,1,"(4, 0, 4, 1)"
balance,20103,"{""modality"": ""dropout"", ""agents"": [1, 2], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",111.0373306274414,0,SUCCESS,1,"(4, 0, 4, 1)"
balance,20104,"{""modality"": ""dropout"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 1.0}",118.7918472290039,0,SUCCESS,1,"(4, 0, 4, 2)"
balance,20105,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",133.53826904296875,0,SUCCESS,1,"(0, 0, 0, 0)"
balance,20106,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.05}",121.11893463134766,0,SUCCESS,1,"(0, 0, 0, 0)"
balance,20107,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.05}",108.09104919433594,1,SUCCESS,1,"(0, 0, 1, 0)"
balance,20108,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",124.43611907958984,0,SUCCESS,1,"(0, 0, 2, 0)"
balance,20109,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",117.5189437866211,0,SUCCESS,1,"(0, 0, 2, 0)"
balance,20110,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.05}",157.33424377441406,0,SUCCESS,1,"(0, 0, 2, 1)"
balance,20111,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",106.49329376220703,0,SUCCESS,1,"(0, 0, 3, 0)"
balance,20112,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",106.33063888549805,0,SUCCESS,1,"(0, 0, 3, 0)"
balance,20113,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.05}",23.24761962890625,1,SUCCESS,1,"(0, 0, 3, 2)"
balance,20114,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",138.85082244873047,0,SUCCESS,1,"(0, 0, 4, 0)"
balance,20115,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",109.03935241699219,0,SUCCESS,1,"(0, 0, 4, 0)"
balance,20116,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",118.47223663330078,0,SUCCESS,1,"(0, 0, 4, 1)"
balance,20117,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",146.3778419494629,0,SUCCESS,1,"(0, 0, 4, 1)"
balance,20118,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.05}",126.8642349243164,0,SUCCESS,1,"(0, 0, 4, 2)"
balance,20119,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.1}",130.57960510253906,0,SUCCESS,1,"(0, 1, 0, 0)"
balance,20120,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",113.71529388427734,0,SUCCESS,1,"(0, 1, 1, 0)"
balance,20121,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",119.59801483154297,0,SUCCESS,1,"(0, 1, 1, 0)"
balance,20122,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.1}",141.99327850341797,0,SUCCESS,1,"(0, 1, 1, 1)"
balance,20123,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",117.78730773925781,0,SUCCESS,1,"(0, 1, 2, 0)"
balance,20124,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.1}",132.33753204345703,0,SUCCESS,1,"(0, 1, 2, 0)"
balance,20125,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",94.55522918701172,0,SUCCESS,1,"(0, 1, 3, 0)"
balance,20126,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.1}",140.28900146484375,0,SUCCESS,1,"(0, 1, 3, 1)"
balance,20127,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",129.1802215576172,0,SUCCESS,1,"(0, 1, 4, 0)"
balance,20128,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",128.73587036132812,0,SUCCESS,1,"(0, 1, 4, 0)"
balance,20129,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",113.17108154296875,0,SUCCESS,1,"(0, 1, 4, 0)"
balance,20130,"{""modality"": ""obs_noise"", ""agents"": [1], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",132.82157135009766,0,SUCCESS,1,"(0, 1, 4, 1)"
balance,20131,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 90, ""t_end"": 100, ""severity"": 0.1}",146.20010375976562,0,SUCCESS,1,"(0, 1, 4, 2)"
balance,20132,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",118.32868194580078,0,SUCCESS,1,"(0, 2, 0, 0)"
balance,20133,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",122.63008117675781,0,SUCCESS,1,"(0, 2, 0, 0)"
balance,20134,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",120.33792114257812,0,SUCCESS,1,"(0, 2, 0, 0)"
balance,20135,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",142.49370574951172,0,SUCCESS,1,"(0, 2, 0, 1)"
balance,20136,"{""modality"": ""obs_noise"", ""agents"": [2], ""t_start"": 10, ""t_end"": 20, ""severity"": 0.2}",109.86058044433594,0,SUCCESS,1,"(0, 2, 0, 2)"
balance,20137,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",121.6677017211914,0,SUCCESS,1,"(0, 2, 1, 0)"
balance,20138,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",114.31148529052734,0,SUCCESS,1,"(0, 2, 1, 0)"
balance,20139,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",35.5777587890625,1,SUCCESS,1,"(0, 2, 1, 0)"
balance,20140,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 30, ""t_end"": 40, ""severity"": 0.2}",131.07854461669922,0,SUCCESS,1,"(0, 2, 1, 1)"
balance,20141,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",118.66165924072266,0,SUCCESS,1,"(0, 2, 2, 0)"
balance,20142,"{""modality"": ""obs_noise"", ""agents"": [0, 1], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",122.03837585449219,0,SUCCESS,1,"(0, 2, 2, 0)"
balance,20143,"{""modality"": ""obs_noise"", ""agents"": [0, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",55.90827941894531,1,SUCCESS,1,"(0, 2, 2, 0)"
balance,20144,"{""modality"": ""obs_noise"", ""agents"": [1, 2], ""t_start"": 50, ""t_end"": 60, ""severity"": 0.2}",144.5614242553711,0,SUCCESS,1,"(0, 2, 2, 1)"
balance,20145,"{""modality"": ""obs_noise"", ""agents"": [0], ""t_start"": 70, ""t_end"": 80, ""severity"": 0.2}",130.486083984375,0,SUCCESS,1,"(0, 2, 3, 0)"
