policy,geometry,seed,damage_axis,damage_allies,diff,axis_win,allies_win
geometry,crossing,35,0,0,0,0,0
geometry,crossing,36,0,1,1,1,0
geometry,crossing,37,12,0,-12,0,1
geometry,crossing,38,0,0,0,0,0
geometry,crossing,39,0,8,8,1,0
geometry,crossing,40,5,12,7,1,0
geometry,crossing,41,3,12,9,1,0
geometry,crossing,42,0,0,0,0,0
geometry,crossing,43,2,9,7,1,0
geometry,crossing,44,3,0,-3,0,1
geometry,crossing,45,0,5,5,1,0
geometry,crossing,46,3,12,9,1,0
geometry,crossing,47,1,8,7,1,0
geometry,crossing,48,1,0,-1,0,1
geometry,crossing,49,5,0,-5,0,1
geometry,crossing,50,0,4,4,1,0
geometry,crossing,51,5,4,-1,0,1
geometry,crossing,52,0,2,2,1,0
geometry,crossing,53,0,0,0,0,0
geometry,crossing,54,1,5,4,1,0
geometry,crossing,55,0,8,8,1,0
geometry,crossing,56,6,10,4,1,0
geometry,crossing,57,0,12,12,1,0
geometry,crossing,58,0,0,0,0,0
geometry,crossing,59,0,3,3,1,0
geometry,crossing,60,5,11,6,1,0
line,parallel,1,1,1,0,0,0
line,parallel,2,4,9,5,1,0
line,parallel,3,1,8,7,1,0
line,parallel,4,2,6,4,1,0
line,parallel,5,0,0,0,0,0
line,parallel,6,2,4,2,1,0
line,parallel,7,4,2,-2,0,1
line,parallel,8,0,11,11,1,0
line,parallel,9,1,1,0,0,0
line,parallel,10,6,9,3,1,0
line,parallel,11,2,4,2,1,0
line,parallel,12,0,11,11,1,0
line,parallel,13,0,6,6,1,0
line,parallel,14,6,12,6,1,0
line,parallel,15,12,1,-11,0,1
line,parallel,16,6,0,-6,0,1
line,parallel,17,4,0,-4,0,1
line,parallel,18,3,3,0,0,0
line,parallel,19,2,4,2,1,0
line,parallel,20,1,2,1,1,0
line,parallel,21,5,3,-2,0,1
line,parallel,22,7,12,5,1,0
line,parallel,23,10,1,-9,0,1
line,parallel,24,3,4,1,1,0
line,parallel,25,5,6,1,1,0
line,parallel,26,4,1,-3,0,1
line,parallel,27,0,12,12,1,0
line,parallel,28,12,7,-5,0,1
line,parallel,29,3,2,-1,0,1
line,parallel,30,4,7,3,1,0
line,parallel,31,6,0,-6,0,1
line,parallel,32,5,5,0,0,0
line,parallel,33,5,7,2,1,0
line,parallel,34,12,0,-12,0,1
line,parallel,35,4,2,-2,0,1
line,parallel,36,2,3,1,1,0
line,parallel,37,12,0,-12,0,1
line,parallel,38,2,7,5,1,0
line,parallel,39,10,5,-5,0,1
line,parallel,40,0,8,8,1,0
line,parallel,41,2,12,10,1,0
line,parallel,42,0,1,1,1,0
