eta_v,eta_omega,geometry,R_plan,peak_ratio,share_ratio
0.75,0.7,crossing,turn-180,0.2418,0.0
0.8,0.7,crossing,straight,0.3897,0.0
0.8,0.7,crossing,turn+30,0.3904,0.0
0.8,0.7,crossing,turn+60,0.3832,0.0
0.8,0.7,crossing,turn+90,0.0,0.0
0.8,0.7,crossing,turn+120,0.8348,0.025
0.8,0.7,crossing,turn+180,1.0,0.025
0.8,0.7,crossing,turn-30,0.542,0.025
0.8,0.7,crossing,turn-60,0.4647,0.0
0.8,0.7,crossing,turn-90,0.4017,0.0
0.8,0.7,crossing,turn-120,0.3586,0.0
0.8,0.7,crossing,turn-180,0.2533,0.0
0.85,0.7,crossing,straight,0.3637,0.0
0.85,0.7,crossing,turn+30,0.3548,0.0
0.85,0.7,crossing,turn+60,1.0,0.025
0.85,0.7,crossing,turn+90,0.0,0.0
0.85,0.7,crossing,turn+120,0.8641,0.025
0.85,0.7,crossing,turn+180,0.9776,0.025
0.85,0.7,crossing,turn-30,0.5306,0.025
0.85,0.7,crossing,turn-60,0.4613,0.0
0.85,0.7,crossing,turn-90,0.403,0.0
0.85,0.7,crossing,turn-120,0.3647,0.0
0.85,0.7,crossing,turn-180,0.2834,0.0
0.9,0.7,crossing,straight,0.7469,0.025
0.9,0.7,crossing,turn+30,0.948,0.025
0.9,0.7,crossing,turn+60,1.0,0.025
0.9,0.7,crossing,turn+90,0.0,0.0
0.9,0.7,crossing,turn+120,0.9285,0.025
0.9,0.7,crossing,turn+180,0.9942,0.025
0.9,0.7,crossing,turn-30,0.5399,0.025
0.9,0.7,crossing,turn-60,0.476,0.0
0.9,0.7,crossing,turn-90,0.4212,0.0
0.9,0.7,crossing,turn-120,0.3854,0.0
0.9,0.7,crossing,turn-180,0.3575,0.0
0.95,0.7,crossing,straight,0.6818,0.025
0.95,0.7,crossing,turn+30,0.9435,0.025
0.95,0.7,crossing,turn+60,0.9898,0.025
0.95,0.7,crossing,turn+90,0.0,0.0
0.95,0.7,crossing,turn+120,0.0,0.0
0.95,0.7,crossing,turn+180,1.0,0.025
0.95,0.7,crossing,turn-30,0.543,0.025
0.95,0.7,crossing,turn-60,0.4855,0.0
0.95,0.7,crossing,turn-90,0.4362,0.0
0.95,0.7,crossing,turn-120,0.4027,0.0
0.95,0.7,crossing,turn-180,0.3905,0.0
1.0,0.7,crossing,straight,0.603,0.025
1.0,0.7,crossing,turn+30,0.9342,0.025
1.0,0.7,crossing,turn+60,0.9748,0.025
1.0,0.7,crossing,turn+90,0.0,0.0
1.0,0.7,crossing,turn+120,0.0,0.0
1.0,0.7,crossing,turn+180,1.0,0.025
1.0,0.7,crossing,turn-30,0.5424,0.025
1.0,0.7,crossing,turn-60,0.4918,0.0
1.0,0.7,crossing,turn-90,0.4487,0.0
1.0,0.7,crossing,turn-120,0.4487,0.0
1.0,0.7,crossing,turn-180,0.4205,0.0
1.05,0.7,crossing,straight,0.9972,0.05
1.05,0.7,crossing,turn+30,1.0,0.025
1.05,0.7,crossing,turn+60,0.9754,0.025
1.05,0.7,crossing,turn+90,0.2171,0.0
1.05,0.7,crossing,turn+120,0.0,0.0
1.05,0.7,crossing,turn+180,0.5036,0.025
1.05,0.7,crossing,turn-30,0.9677,0.05
1.05,0.7,crossing,turn-60,0.9489,0.075
1.05,0.7,crossing,turn-90,0.562,0.025
1.05,0.7,crossing,turn-120,0.4314,0.0
1.05,0.7,crossing,turn-180,0.2398,0.0
1.1,0.7,crossing,straight,0.8593,0.025
1.1,0.7,crossing,turn+30,0.8537,0.025
1.1,0.7,crossing,turn+60,0.8282,0.025
1.1,0.7,crossing,turn+90,0.1799,0.0
1.1,0.7,crossing,turn+120,0.0,0.0
1.1,0.7,crossing,turn+180,0.4253,0.0
1.1,0.7,crossing,turn-30,0.8428,0.05
1.1,0.7,crossing,turn-60,1.0,0.05
1.1,0.7,crossing,turn-90,0.6824,0.025
1.1,0.7,crossing,turn-120,0.4018,0.0
1.1,0.7,crossing,turn-180,0.2122,0.0
1.15,0.7,crossing,straight,1.0,0.025
1.15,0.7,crossing,turn+30,0.9851,0.025
1.15,0.7,crossing,turn+60,0.9503,0.025
1.15,0.7,crossing,turn+90,0.2012,0.0
1.15,0.7,crossing,turn+120,0.0,0.0
1.15,0.7,crossing,turn+180,0.4848,0.0
1.15,0.7,crossing,turn-30,0.9912,0.05
1.15,0.7,crossing,turn-60,0.9612,0.025
1.15,0.7,crossing,turn-90,0.9159,0.025
1.15,0.7,crossing,turn-120,0.5034,0.025
1.15,0.7,crossing,turn-180,0.2536,0.0
1.2,0.7,crossing,straight,0.7812,0.025
1.2,0.7,crossing,turn+30,0.763,0.025
1.2,0.7,crossing,turn+60,0.733,0.025
1.2,0.7,crossing,turn+90,0.132,0.0
1.2,0.7,crossing,turn+120,0.0,0.0
1.2,0.7,crossing,turn+180,0.3704,0.0
1.2,0.7,crossing,turn-30,0.7823,0.025
1.2,0.7,crossing,turn-60,1.0,0.05
1.2,0.7,crossing,turn-90,0.7483,0.025
1.2,0.7,crossing,turn-120,0.4221,0.0
1.2,0.7,crossing,turn-180,0.2079,0.0
1.25,0.7,crossing,straight,0.3791,0.0
1.25,0.7,crossing,turn+30,0.3958,0.0
1.25,0.7,crossing,turn+60,0.4141,0.0
1.25,0.7,crossing,turn+90,0.0,0.0
1.25,0.7,crossing,turn+120,0.0,0.0
1.25,0.7,crossing,turn+180,0.6882,0.025
1.25,0.7,crossing,turn-30,0.365,0.0
1.25,0.7,crossing,turn-60,0.3545,0.0
1.25,0.7,crossing,turn-90,0.3487,0.0
1.25,0.7,crossing,turn-120,1.0,0.025
1.25,0.7,crossing,turn-180,0.3896,0.0
1.3,0.7,crossing,straight,0.548,0.025
1.3,0.7,crossing,turn+30,0.5674,0.025
1.3,0.7,crossing,turn+60,0.5908,0.025
1.3,0.7,crossing,turn+90,0.0,0.0
1.3,0.7,crossing,turn+120,0.0,0.0
1.3,0.7,crossing,turn+180,1.0,0.05
1.3,0.7,crossing,turn-30,0.5337,0.025
1.3,0.7,crossing,turn-60,0.5257,0.025
1.3,0.7,crossing,turn-90,0.5248,0.025
1.3,0.7,crossing,turn-120,0.5318,0.025
1.3,0.7,crossing,turn-180,0.5942,0.05
1.35,0.7,crossing,straight,0.5203,0.025
1.35,0.7,crossing,turn+30,0.5344,0.025
1.35,0.7,crossing,turn+60,0.5541,0.025
1.35,0.7,crossing,turn+90,0.0,0.0
1.35,0.7,crossing,turn+120,0.0,0.0
1.35,0.7,crossing,turn+180,1.0,0.025
1.35,0.7,crossing,turn-30,0.5127,0.025
1.35,0.7,crossing,turn-60,0.5121,0.025
1.35,0.7,crossing,turn-90,0.519,0.025
1.35,0.7,crossing,turn-120,0.5335,0.05
1.35,0.7,crossing,turn-180,0.591,0.025
1.4,0.7,crossing,straight,0.3276,0.0
1.4,0.7,crossing,turn+30,0.3337,0.0
1.4,0.7,crossing,turn+60,0.1162,0.0
1.4,0.7,crossing,turn+90,0.0,0.0
1.4,0.7,crossing,turn+120,0.0,0.0
1.4,0.7,crossing,turn+180,0.665,0.025
1.4,0.7,crossing,turn-30,0.3267,0.0
1.4,0.7,crossing,turn-60,0.331,0.0
1.4,0.7,crossing,turn-90,0.3405,0.0
1.4,0.7,crossing,turn-120,0.3551,0.0
1.4,0.7,crossing,turn-180,1.0,0.025
1.45,0.7,crossing,straight,0.3213,0.0
1.45,0.7,crossing,turn+30,0.3245,0.0
1.45,0.7,crossing,turn+60,0.1195,0.0
1.45,0.7,crossing,turn+90,0.0,0.0
1.45,0.7,crossing,turn+120,0.0,0.0
1.45,0.7,crossing,turn+180,0.6905,0.025
1.45,0.7,crossing,turn-30,0.3243,0.0
1.45,0.7,crossing,turn-60,0.3333,0.0
1.45,0.7,crossing,turn-90,0.3481,0.0
1.45,0.7,crossing,turn-120,0.7818,0.025
1.45,0.7,crossing,turn-180,1.0,0.025
1.5,0.7,crossing,straight,0.3155,0.0
1.5,0.7,crossing,turn+30,0.3159,0.0
1.5,0.7,crossing,turn+60,0.1228,0.0
1.5,0.7,crossing,turn+90,0.0,0.0
1.5,0.7,crossing,turn+120,0.0,0.0
1.5,0.7,crossing,turn+180,0.7262,0.025
1.5,0.7,crossing,turn-30,0.3211,0.0
1.5,0.7,crossing,turn-60,0.3344,0.0
1.5,0.7,crossing,turn-90,0.3547,0.0
1.5,0.7,crossing,turn-120,0.3808,0.0
1.5,0.7,crossing,turn-180,1.0,0.025
0.75,1.0,head_on,straight,0.0,0.0
0.75,1.0,head_on,turn+30,0.0,0.0
0.75,1.0,head_on,turn+60,0.0,0.0
0.75,1.0,head_on,turn+90,0.4141,0.0
0.75,1.0,head_on,turn+120,0.354,0.0
0.75,1.0,head_on,turn+180,0.2729,0.0
0.75,1.0,head_on,turn-30,0.9871,0.025
0.75,1.0,head_on,turn-60,1.0,0.025
0.75,1.0,head_on,turn-90,0.7857,0.025
0.75,1.0,head_on,turn-120,0.7191,0.025
0.75,1.0,head_on,turn-180,0.2088,0.0
0.8,1.0,head_on,straight,0.0,0.0
0.8,1.0,head_on,turn+30,1.0,0.025
0.8,1.0,head_on,turn+60,0.9583,0.025
0.8,1.0,head_on,turn+90,0.9028,0.025
0.8,1.0,head_on,turn+120,0.6282,0.025
