phase,cell,metric,old,amended,difference
mechanism_discovery,head_on_0.7,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,head_on_0.7,centroid_drift_alpha0.8,4.6027924408338174,4.6027924408338174,0.0
mechanism_discovery,head_on_0.7,hausdorff_alpha0.8,6.16227766016838,6.16227766016838,0.0
mechanism_discovery,head_on_0.7,raw_ratio_alpha0.8,-0.05331529956558471,-0.05331529956558471,0.0
mechanism_discovery,head_on_0.85,Theta_alpha0.9,0.05784616168397362,0.05784616168397362,0.0
mechanism_discovery,head_on_0.85,R_raw_alpha0.9,-0.2508899512005316,-0.2508899512005316,0.0
mechanism_discovery,head_on_0.85,directed_drift_alpha0.9,4.873692197561,4.873692197561,0.0
mechanism_discovery,head_on_0.85,centroid_drift_alpha0.9,5.5577955010083615,5.5577955010083615,0.0
mechanism_discovery,head_on_0.85,hausdorff_alpha0.9,7.193767306409247,7.193767306409247,0.0
mechanism_discovery,head_on_0.85,raw_ratio_alpha0.9,-0.06346781206610697,-0.06346781206610697,0.0
mechanism_discovery,head_on_0.85,Theta_alpha0.8,0.04399350437378641,0.04399350437378641,0.0
mechanism_discovery,head_on_0.85,R_raw_alpha0.8,-0.9030385992100822,-0.9030385992100822,0.0
mechanism_discovery,head_on_0.85,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,head_on_0.85,centroid_drift_alpha0.8,4.538353973859537,4.538353973859537,0.0
mechanism_discovery,head_on_0.85,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,head_on_0.85,raw_ratio_alpha0.8,-0.18775018280991024,-0.18775018280991024,0.0
mechanism_discovery,head_on_1.15,Theta_alpha0.9,0.0,0.0,0.0
mechanism_discovery,head_on_1.15,R_raw_alpha0.9,-1.7298521359272914,-1.7298521359272914,0.0
mechanism_discovery,head_on_1.15,directed_drift_alpha0.9,4.857878784233826,4.857878784233826,0.0
mechanism_discovery,head_on_1.15,centroid_drift_alpha0.9,5.024471012502462,5.024471012502462,0.0
mechanism_discovery,head_on_1.15,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,head_on_1.15,raw_ratio_alpha0.9,-0.33358812428066625,-0.33358812428066625,0.0
mechanism_discovery,head_on_1.15,Theta_alpha0.8,0.0,0.0,0.0
mechanism_discovery,head_on_1.15,R_raw_alpha0.8,-1.6687049287403677,-1.6687049287403677,0.0
