phase,geometry,speed,alpha,n_epochs,n_defined,n_episodes_defined,negative_correction_fraction,zero_drift_fraction,outside_domain_fraction,Theta,Theta_centroid,Theta_hausdorff,R_raw,directed_drift,centroid_drift,hausdorff,raw_ratio,nonnegative_ratio,opponent_heading_change,Theta_probe_q25,Theta_probe_q75
confirmatory,parallel,0.75,0.9,192,192,32,0.34375,0.13541666666666666,0.265625,0.1275833315744066,0.12295322170986593,0.10668459327489183,0.6035436041303245,4.898632107363509,5.2965854767648946,6.932982231881342,0.14002795105628313,0.14761270046205033,60.0,0.07588962917402255,0.27564239855584893
confirmatory,parallel,0.75,0.8,192,192,32,0.3489583333333333,0.13541666666666666,0.265625,0.18575679587427285,0.15648997276103804,0.14118196491588658,0.8784759665097961,3.7722968705524664,4.604610136788841,6.162277660168379,0.2373245823779429,0.24876662739111116,60.0,0.06985040128700179,0.3210967552497628
confirmatory,parallel,0.9,0.9,192,192,32,0.40625,0.13541666666666666,0.265625,0.1105748622816338,0.10640806978792922,0.10241476615821746,0.35491929929962907,4.874362452243162,5.605156646682423,7.193767306409247,0.06846253674638703,0.13287983356661365,60.0,0.04848529001689479,0.23886141418448936
confirmatory,parallel,0.9,0.8,192,192,32,0.40625,0.13541666666666666,0.265625,0.1626439007120471,0.14439653733046331,0.1316334274348796,0.670105025703378,3.784876960464123,4.8685598955017095,6.558043945945933,0.1733913908372805,0.22619119980312458,60.0,0.07833401140926372,0.2742973954652018
confirmatory,parallel,1.1,0.9,192,192,32,0.453125,0.13541666666666666,0.2916666666666667,0.10816713582708555,0.09995084670364586,0.08250056920384377,0.2755123741692477,4.833793037201067,5.126107899563396,6.327430956417352,0.05747256298150581,0.1380878254095176,60.0,0.0,0.2030212584621745
confirmatory,parallel,1.1,0.8,192,192,32,0.4479166666666667,0.13541666666666666,0.2916666666666667,0.1188690618262792,0.10091659985150941,0.08065158293366764,0.15188780454523088,3.7722968705524664,4.3604045163815845,6.046768803601324,0.04077296453578874,0.13575601754335614,60.0,0.0,0.20032798762054593
confirmatory,parallel,1.25,0.9,192,192,32,0.46875,0.13541666666666666,0.3177083333333333,0.09394030404304883,0.09287429988048583,0.07398721620715396,-0.2657210100958989,5.118033248758135,5.0271575898745375,6.327430956417352,0.00431999666348129,0.11567302169901642,60.0,0.0,0.24240047152698543
confirmatory,parallel,1.25,0.8,192,192,32,0.4739583333333333,0.13541666666666666,0.3177083333333333,0.06943114617145793,0.060216923794572726,0.05366948719587391,-0.3799265625589019,3.7722968705524664,4.388913117100054,6.046768803601324,-0.0628957430309977,0.08062722785692517,60.0,0.0,0.18797532790124874
confirmatory,crossing,0.75,0.9,192,192,32,0.4375,0.13541666666666666,0.3229166666666667,0.11767129008904732,0.11450977571837805,0.09170679107447738,0.31336117531885366,4.898632107363509,5.2965854767648946,6.932982231881342,0.0896908969659615,0.1541229475338204,60.0,0.0,0.23748141455035482
confirmatory,crossing,0.75,0.8,192,192,32,0.4583333333333333,0.13541666666666666,0.3229166666666667,0.13373600380720874,0.1183044501972339,0.09684428599837398,0.20282080384748946,3.7722968705524664,4.604610136788841,6.16227766016838,0.05831642070940431,0.18301085798353772,60.0,0.0,0.2618582390470475
confirmatory,crossing,0.9,0.9,192,192,32,0.46875,0.13541666666666666,0.328125,0.10563240436181345,0.09408102411742669,0.06798806087073493,0.050772574543925586,4.874362452243162,5.605156646682423,7.193767306409247,-0.03042403057429987,0.13431902007569807,60.0,0.0,0.2482731192332548
confirmatory,crossing,0.9,0.8,192,192,32,0.484375,0.13541666666666666,0.328125,0.1066684280109422,0.09557973721093675,0.07381834861517433,-0.07114394982112071,3.784876960464123,4.8685598955017095,6.558043945945933,-0.14369489480494207,0.13561952490448154,60.0,0.0,0.24986456659307038
confirmatory,crossing,1.1,0.9,192,192,32,0.4895833333333333,0.13541666666666666,0.34375,0.06707704409755083,0.06669520420811632,0.05357890529318492,-0.12847580660007019,4.833793037201068,5.1261078995633955,6.327430956417352,-0.10819546652578228,0.07843507156124851,60.0,0.0,0.25946775979020287
confirmatory,crossing,1.1,0.8,192,192,32,0.484375,0.13541666666666666,0.34375,0.07722582340886566,0.07295817168179256,0.06309572350305229,-0.24496979927875318,3.7722968705524664,4.3604045163815845,6.046768803601324,-0.17789821036094955,0.09133284657198537,60.0,0.0,0.27914522987810775
confirmatory,crossing,1.25,0.9,192,192,32,0.5,0.13541666666666666,0.359375,0.03324507232800461,0.03424899597524368,0.02410713024134077,-0.43194015126199226,5.118033248758134,5.0271575898745375,6.327430956417352,-0.12224241325964716,0.03608528812439877,60.0,0.0,0.23742403433476938
