cell,k,eps,eps_abs,n_B,n_B_surviving,c_resp,n_B_surviving_rawpenalty,c_resp_rawpenalty,n_top_tier_in_B,n_top_tier_pruned,hazard_mean_in_B,n_top_tier_contacted,n_top_tier_total,top_tier_all_contacted,v_resp_norm,v_resp_norm_rawpenalty,lane_e_hits_topk
opposing:1v1,2,0.2,1.0666666666666667,32,32,0.0,32,0.0,32,0,0.01996527777777779,4,32,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:1v1,4,0.05,0.26666666666666666,32,25,0.21875,32,0.0,32,7,0.03913333092206792,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:1v1,4,0.1,0.5333333333333333,32,31,0.03125,32,0.0,32,1,0.03913333092206792,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:1v1,4,0.2,1.0666666666666667,32,32,0.0,32,0.0,32,0,0.03913333092206792,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:1v1,6,0.05,0.26666666666666666,32,25,0.21875,32,0.0,32,7,0.047536716539673375,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
opposing:1v1,6,0.1,0.5333333333333333,32,31,0.03125,32,0.0,32,1,0.047536716539673375,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
opposing:1v1,6,0.2,1.0666666666666667,32,32,0.0,32,0.0,32,0,0.047536716539673375,7,32,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
opposing:2v1,1,0.05,0.33333333333333337,28,28,0.0,28,0.0,28,0,0.01190476190476191,4,28,False,0.0,0.0,[0.0833]
opposing:2v1,1,0.1,0.6666666666666667,28,28,0.0,28,0.0,28,0,0.01190476190476191,4,28,False,0.0,0.0,[0.0833]
opposing:2v1,1,0.2,1.3333333333333335,32,32,0.0,32,0.0,28,0,0.010416666666666671,4,28,False,0.0,0.0,[0.0833]
opposing:2v1,2,0.05,0.33333333333333337,28,24,0.1428571428571429,28,0.0,28,4,0.02281746031746033,4,28,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:2v1,2,0.1,0.6666666666666667,28,28,0.0,28,0.0,28,0,0.02281746031746033,4,28,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:2v1,2,0.2,1.3333333333333335,32,32,0.0,32,0.0,28,0,0.01996527777777779,4,28,False,0.0,0.0,"[0.0833, 0.0833]"
opposing:2v1,4,0.05,0.33333333333333337,28,21,0.25,28,0.0,28,7,0.04472380676807763,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:2v1,4,0.1,0.6666666666666667,28,27,0.0357142857142857,28,0.0,28,1,0.04472380676807763,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:2v1,4,0.2,1.3333333333333335,32,32,0.0,32,0.0,28,0,0.03913333092206792,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833]"
opposing:2v1,6,0.05,0.33333333333333337,28,21,0.25,28,0.0,28,7,0.054327676045341,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
opposing:2v1,6,0.1,0.6666666666666667,28,27,0.0357142857142857,28,0.0,28,1,0.054327676045341,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
opposing:2v1,6,0.2,1.3333333333333335,32,32,0.0,32,0.0,28,0,0.047536716539673375,7,28,False,0.0,0.0,"[0.0833, 0.0833, 0.0833, 0.0833, 0.0833, 0.0]"
