geometry,eta_r,eta_v,K,iter,V,L,U,rel_gap,evals,methods_b,methods_r
crossing,1.0,1.0,6,4,1.4874,1.4874,7.3821,3.9631,31000,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.0,6,1,-0.9017,-0.9017,20.148,21.0496,31837,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.0,6,2,-2.3597,-2.3597,12.7372,6.3979,33612,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.0,6,3,-0.4884,-0.4884,10.919,11.4074,32078,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.0,6,4,-0.3445,-0.3445,8.8283,9.1728,34687,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.2,6,1,-3.149,-3.149,13.6351,5.33,32414,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.2,6,2,2.5395,2.5395,8.8558,2.4872,33420,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.2,6,3,-0.3078,-0.3078,9.8142,10.122,34855,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.0,1.2,6,4,1.7387,1.7387,10.347,4.9512,35861,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,4,1,-6.1424,-6.1424,1.7947,1.2922,18578,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,4,2,-4.2373,-4.2373,0.5289,1.1248,19224,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,0.8,1.2,4,3,-6.8395,-6.8395,-1.4968,0.7812,19158,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,3,1,11.2598,11.2598,27.1567,1.4118,19214,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,3,2,15.4895,15.4895,32.9336,1.1262,18727,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,3,3,15.2922,15.2922,24.2586,0.5863,20486,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,4,1,11.2598,11.2598,27.1567,1.4118,19214,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,4,2,15.4895,15.4895,32.9336,1.1262,18727,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,0.8,4,3,15.2922,15.2922,24.2586,0.5863,20486,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,3,1,7.4562,7.4562,20.0199,1.685,20543,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,3,2,15.0537,15.0537,24.3576,0.6181,19366,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,3,3,8.9955,8.9955,27.6312,2.0717,19821,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.2,6,1,-0.9411,-0.9411,13.7662,14.7073,37909,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.2,6,2,-0.7355,-0.7355,8.3842,9.1197,34310,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.2,6,3,0.4747,0.4747,10.4899,10.0152,37767,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
crossing,1.0,1.2,6,4,4.4797,4.4797,9.9802,1.2279,32822,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,4,1,7.4562,7.4562,20.0199,1.685,20543,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,4,2,15.0537,15.0537,24.3576,0.6181,19366,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.0,4,3,8.9955,8.9955,27.6312,2.0717,19821,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,3,1,-8.7638,-8.7638,11.9188,2.36,17688,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,3,2,-10.0716,-10.0716,3.9833,1.3955,18584,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,3,3,-5.6856,-5.6856,1.324,1.2329,19315,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,3,1,6.9259,6.9259,15.8846,1.2935,19107,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,3,2,9.1107,9.1107,18.5395,1.0349,17964,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,3,3,12.1599,12.1599,27.3699,1.2508,19535,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,4,1,-8.7638,-8.7638,11.9188,2.36,17688,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,4,2,-10.0716,-10.0716,3.9833,1.3955,18584,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,0.8,4,3,-5.6856,-5.6856,1.324,1.2329,19315,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,4,1,6.9259,6.9259,15.8846,1.2935,19107,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,4,2,9.1107,9.1107,18.5395,1.0349,17964,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
head_on,1.2,1.2,4,3,12.1599,12.1599,27.3699,1.2508,19535,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,3,1,-11.3223,-11.3223,0.8221,1.0726,20802,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,3,2,-13.295,-13.295,5.1192,1.385,17547,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,3,3,-4.3558,-4.3558,-0.4204,0.9035,17619,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,3,1,-12.7846,-12.7846,0.103,1.0081,17257,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,3,2,-9.2456,-9.2456,8.0429,1.8699,18473,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,3,3,-15.0097,-15.0097,4.6195,1.3078,17228,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,4,1,-11.3223,-11.3223,0.8221,1.0726,20802,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,4,2,-13.295,-13.295,5.1192,1.385,17547,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.2,4,3,-4.3558,-4.3558,-0.4204,0.9035,17619,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
